product_id,customer_id,product_category,customer_segment,sales,discount,date
45,772,A,n,,,2020-01-01
48,532,B,X,899.0,0.009974950307566233,2020-01-02
65,911,B,X,156.0,0.01629677091691458,2020-01-03
68,180,B,Y,695.0,0.053541010756668325,2020-01-04
68,375,B,Y,948.0,0.2594042145687301,2020-01-05
10,858,C,Y,716.0,0.27509651925257916,2020-01-06
84,387,B,Z,884.0,0.03127448614861071,2020-01-07
22,75,B,Y,523.0,0.06407098496858733,2020-01-08
37,567,C,Y,472.0,0.23656940872213794,2020-01-09
88,392,C,Y,595.0,0.005871658461582518,2020-01-10
71,709,B,X,351.0,0.13507878243520824,2020-01-11
89,135,B,Z,871.0,0.24224959415770336,2020-01-12
89,69,D,Z,584.0,0.2748900916841553,2020-01-13
13,553,D,Z,125.0,0.18238949691550532,2020-01-14
59,97,A,X,314.0,0.15391204725095944,2020-01-15
66,153,D,X,897.0,0.2174559144457626,2020-01-16
40,912,C,X,549.0,0.02081667171577788,2020-01-17
88,51,C,X,898.0,0.2144965228558167,2020-01-18
47,919,C,Y,698.0,0.117685375475033,2020-01-19
89,868,C,Y,134.0,0.2105318506638533,2020-01-20
82,336,C,X,844.0,0.1200831807344682,2020-01-21
38,983,A,Y,975.0,0.126583723971398,2020-01-22
26,495,A,Z,593.0,0.15167178821079288,2020-01-23
78,715,B,Y,880.0,0.06676034674569727,2020-01-24
73,179,D,Y,700.0,0.1384553469777027,2020-01-25
10,165,A,Y,102.0,0.21141995817155151,2020-01-26
21,147,D,Y,783.0,0.1914148560089961,2020-01-27
81,623,A,Z,574.0,0.212650261751827,2020-01-28
70,694,C,Z,640.0,0.20121578709536567,2020-01-29
80,385,A,Y,802.0,0.2976785862796169,2020-01-30
48,326,B,Y,328.0,0.14163542071033905,2020-01-31
65,894,D,X,528.0,0.21241585292063356,2020-02-01
83,581,B,Y,238.0,0.13393098270864393,2020-02-02
89,169,D,Y,807.0,0.2845361749376276,2020-02-03
50,173,B,X,255.0,0.16918558428754465,2020-02-04
30,13,C,X,306.0,0.19252394975805778,2020-02-05
20,6,B,X,178.0,0.28141720736426695,2020-02-06
20,522,B,Y,903.0,0.06627142934328625,2020-02-07
15,797,A,Z,271.0,0.11464953258251608,2020-02-08
40,770,C,X,132.0,0.06647214651853618,2020-02-09
33,124,B,Z,185.0,0.03794183956081293,2020-02-10
66,479,B,X,376.0,0.04981723298076157,2020-02-11
10,280,D,Y,325.0,0.0872973682140946,2020-02-12
58,209,C,Y,851.0,0.13147286416605572,2020-02-13
33,528,C,Y,636.0,0.2245855226414921,2020-02-14
32,39,A,X,905.0,0.1563172535206487,2020-02-15
75,451,B,Y,874.0,0.05915034690183693,2020-02-16
24,352,B,Y,137.0,0.2240574910675544,2020-02-17
36,988,D,Z,151.0,0.1714926933782929,2020-02-18
76,611,B,Z,162.0,0.18827782945758562,2020-02-19
56,695,C,Z,920.0,0.08633674517446902,2020-02-20
29,63,A,Y,654.0,0.008597188996688765,2020-02-21
35,225,B,Z,968.0,0.28928189109225244,2020-02-22
1,403,C,Y,293.0,0.015407767406712824,2020-02-23
1,845,A,Z,768.0,0.01928339557428785,2020-02-24
37,412,C,Z,285.0,0.13650818724721353,2020-02-25
54,560,B,Y,528.0,0.004001882071989715,2020-02-26
6,470,D,Z,365.0,0.0002731878639441576,2020-02-27
39,602,C,Z,186.0,0.29088558560837396,2020-02-28
18,939,B,Y,709.0,0.042027065658683437,2020-02-29
80,220,B,Y,364.0,0.023453779186272606,2020-03-01
5,50,A,Y,307.0,0.19122918294602106,2020-03-02
43,128,C,X,988.0,0.12186104772908225,2020-03-03
59,169,B,Y,221.0,0.09239167091717154,2020-03-04
32,828,C,Z,126.0,0.2780687278054416,2020-03-05
2,519,C,Y,597.0,0.2538071835631927,2020-03-06
